Product Name,Equipment Type,Product Code,Net Power,Applications,Operating Weight,Bucket Capacity,Blade Capacity,Max Digging Depth,Pricing,Overview,Benefits,Category
D1,Small Dozer,D1,55 kW,"Ripping overburden, production dozing, site maintenance","8,170 kg",null,2.35 m³,null,"$100,000 USD","The D1 Small Dozer is designed for tasks such as ripping overburden, production dozing, and site maintenance. Its compact size and powerful engine make it ideal for small to medium-sized projects. The D1 offers excellent maneuverability and precision, making it suitable for tasks that require detailed work.","Compact Size: Ideal for small to medium-sized projects, providing excellent maneuverability and precision. H2 - Powerful Engine: 55 kW engine ensures efficient performance for ripping and dozing tasks.  - Versatility: Suitable for a variety of applications, including site maintenance and production dozing.  - Operator Comfort: Designed with ergonomic controls and a comfortable cab to reduce operator fatigue.",Dozer
D2,Small Dozer,D2,67 kW,"Ripping overburden, production dozing, site maintenance","8,970 kg",null,2.90 m³,null,"$120,000 USD","The D2 Small Dozer offers increased power and capacity compared to the D1, making it suitable for more demanding tasks. It is designed for ripping overburden, production dozing, and site maintenance. The D2 provides a balance of power and efficiency, making it ideal for medium-sized projects that require robust performance.","- Increased Power: 67 kW engine provides enhanced performance for more demanding tasks.  - Higher Capacity: Larger blade capacity allows for more efficient material handling.  - Versatility: Suitable for a variety of applications, including site maintenance and production dozing.  - Operator Comfort: Ergonomic design and comfortable cab reduce operator fatigue, enhancing productivity.",Dozer
D3,Small Dozer,D3,70 kW,"Ripping overburden, production dozing, site maintenance","9,170 kg",null,3.00 m³,null,"$140,000 USD","The D3 Small Dozer is designed for ripping overburden, production dozing, and site maintenance. With a 70 kW engine and increased blade capacity, it offers robust performance for medium-sized projects. The D3 provides excellent maneuverability and precision, making it suitable for tasks that require detailed work.","- Robust Performance: 70 kW engine ensures efficient performance for medium-sized projects.  - Higher Capacity: Larger blade capacity allows for more efficient material handling.  - Versatility: Suitable for a variety of applications, including site maintenance and production dozing.  - Operator Comfort: Designed with ergonomic controls and a comfortable cab to reduce operator fatigue.",Dozer
D1 Mulcher,Small Dozer,D1 Mulcher,55 kW,"Ripping overburden, production dozing, site maintenance","8,170 kg",null,2.35 m³,null,"$110,000 USD","The D1 Mulcher Small Dozer is a specialized version of the D1, designed for tasks such as ripping overburden, production dozing, and site maintenance. It features the same compact size and powerful engine, making it ideal for small to medium-sized projects that require precision and maneuverability.","- Specialized Design: Ideal for tasks that require precision and maneuverability.  - Powerful Engine: 55 kW engine ensures efficient performance for ripping and dozing tasks.  - Versatility: Suitable for a variety of applications, including site maintenance and production dozing.  - Operator Comfort: Designed with ergonomic controls and a comfortable cab to reduce operator fatigue.",Dozer
D4,Small Dozer,D4,97 kW,"Ripping overburden, production dozing, site maintenance","13,272 kg",null,3.80 m³,null,"$150,000 USD","The D4 Small Dozer is designed for ripping overburden, production dozing, and site maintenance. With a 97 kW engine and increased blade capacity, it offers robust performance for medium to large-sized projects. The D4 provides excellent maneuverability and precision, making it suitable for tasks that require detailed work.","- Robust Performance: 97 kW engine ensures efficient performance for medium to large-sized projects.  - Higher Capacity: Larger blade capacity allows for more efficient material handling.  - Versatility: Suitable for a variety of applications, including site maintenance and production dozing.  - Operator Comfort: Designed with ergonomic controls and a comfortable cab to reduce operator fatigue.",Dozer
D5,Medium Dozer,D5,127 kW,"Ripping overburden, production dozing, site maintenance","17,180 kg",null,4.50 m³,null,"$200,000 USD","The D5 Medium Dozer is designed for ripping overburden, production dozing, and site maintenance. With a 127 kW engine and increased blade capacity, it offers robust performance for large-sized projects. The D5 provides excellent maneuverability and precision, making it suitable for tasks that require detailed work.","- Robust Performance: 127 kW engine ensures efficient performance for large-sized projects.  - Higher Capacity: Larger blade capacity allows for more efficient material handling.  - Versatility: Suitable for a variety of applications, including site maintenance and production dozing.  - Operator Comfort: Designed with ergonomic controls and a comfortable cab to reduce operator fatigue.",Dozer
D6,Medium Dozer,D6,161 kW,"Ripping overburden, production dozing, site maintenance","21,749 kg",null,5.80 m³,null,"$250,000 USD","The D6 Medium Dozer is designed for ripping overburden, production dozing, and site maintenance. With a 161 kW engine and increased blade capacity, it offers robust performance for large-sized projects. The D6 provides excellent maneuverability and precision, making it suitable for tasks that require detailed work.","- Robust Performance: 161 kW engine ensures efficient performance for large-sized projects.  - Higher Capacity: Larger blade capacity allows for more efficient material handling.  - Versatility: Suitable for a variety of applications, including site maintenance and production dozing.  - Operator Comfort: Designed with ergonomic controls and a comfortable cab to reduce operator fatigue.",Dozer
D6 XE,Medium Dozer,D6 XE,161 kW,"Ripping overburden, production dozing, site maintenance","22,500 kg",null,5.80 m³,null,"$270,000 USD","The D6 XE Medium Dozer is an advanced version of the D6, featuring the same powerful 161 kW engine and blade capacity. It is designed for ripping overburden, production dozing, and site maintenance. The D6 XE offers enhanced efficiency and performance, making it suitable for large-sized projects.",- Enhanced Efficiency: Advanced design ensures efficient performance for large-sized projects.  - Robust Performance: 161 kW engine ensures efficient performance for large-sized projects.  - Higher Capacity: Larger blade capacity allows for more efficient material handling.  - Operator Comfort: Designed with ergonomic controls and a comfortable cab to reduce operator fatigue.",Dozer
D7,Medium Dozer,D7,197 kW,"Ripping overburden, production dozing, site maintenance","29,776 kg",null,7.50 m³,null,"$300,000 USD","The D7 Medium Dozer is designed for ripping overburden, production dozing, and site maintenance. With a 197 kW engine and increased blade capacity, it offers robust performance for large-sized projects. The D7 provides excellent maneuverability and precision, making it suitable for tasks that require detailed work.","- Robust Performance: 197 kW engine ensures efficient performance for large-sized projects.  - Higher Capacity: Larger blade capacity allows for more efficient material handling.  - Versatility: Suitable for a variety of applications, including site maintenance and production dozing.  - Operator Comfort: Designed with ergonomic controls and a comfortable cab to reduce operator fatigue.",Dozer
D8,Medium Dozer,D8,242 kW,"Ripping overburden, production dozing, site maintenance","39,528 kg",null,9.70 m³,null,"$350,000 USD","The D8 Medium Dozer is designed for ripping overburden, production dozing, and site maintenance. With a 242 kW engine and increased blade capacity, it offers robust performance for large-sized projects. The D8 provides excellent maneuverability and precision, making it suitable for tasks that require detailed work.","- Robust Performance: 242 kW engine ensures efficient performance for large-sized projects.  - Higher Capacity: Larger blade capacity allows for more efficient material handling.  - Versatility: Suitable for a variety of applications, including site maintenance and production dozing.  - Operator Comfort: Designed with ergonomic controls and a comfortable cab to reduce operator fatigue.",Dozer
